,year,week,INRice,year_week
0,2015,0,0.0,2015-00
1,2015,1,0.0,2015-00
2,2015,2,0.0,2015-00
3,2015,3,0.0,2015-01
4,2015,5,0.0,2015-01
5,2015,6,0.0,2015-01
6,2015,7,0.0,2015-02
7,2015,10,0.0,2015-02
8,2015,11,0.0,2015-03
9,2015,12,0.0,2015-03
10,2015,14,0.0,2015-05
11,2015,15,0.0,2015-06
12,2015,18,2.745142857142857,2015-06
13,2015,19,6.18,2015-07
14,2015,21,-0.04892857142857147,2015-10
15,2015,22,6.583,2015-11
16,2015,23,5.308,2015-11
17,2015,24,-5.0487142857142855,2015-12
18,2015,25,3.9285714285714284,2015-12
19,2015,26,-3.4062142857142867,2015-14
20,2015,27,-33.81628571428571,2015-14
21,2015,28,4.8275,2015-15
22,2015,31,0.0,2015-18
23,2015,32,0.0,2015-18
24,2015,33,0.0,2015-18
25,2015,35,0.0,2015-18
26,2015,36,0.0,2015-18
27,2015,37,0.0,2015-18
28,2015,38,0.0,2015-18
29,2015,39,0.0,2015-19
30,2015,40,0.0,2015-19
31,2015,41,0.0,2015-21
32,2015,42,0.0,2015-21
33,2015,45,0.0,2015-21
34,2015,46,0.0,2015-21
35,2015,47,0.0,2015-21
36,2015,48,0.0,2015-21
37,2015,49,0.0,2015-21
38,2015,50,0.0,2015-22
39,2015,51,0.0,2015-23
40,2015,52,0.0,2015-23
41,2016,0,0.0,2016-23
42,2016,1,0.0,2016-23
43,2016,2,0.0,2016-24
44,2016,3,0.0,2016-24
45,2016,5,0.0,2016-24
46,2016,6,0.0,2016-24
47,2016,7,0.0,2016-24
48,2016,8,0.0,2016-24
49,2016,9,0.0,2016-24
50,2016,11,0.0,2016-25
51,2016,13,0.0,2016-25
52,2016,14,0.0,2016-25
53,2016,15,0.0,2016-25
54,2016,16,0.0,2016-25
55,2016,17,26.502,2016-25
56,2016,18,6.144,2016-25
57,2016,19,6.1305,2016-26
58,2016,20,-3.1315000000000004,2016-26
59,2016,21,-2.655785714285714,2016-26
60,2016,22,-0.6517500000000004,2016-26
61,2016,23,1.143833333333333,2016-26
62,2016,24,4.261714285714286,2016-26
63,2016,25,2.429928571428571,2016-26
64,2016,26,-0.014500000000001142,2016-27
65,2016,27,-18.21725,2016-27
66,2016,28,0.7332142857142854,2016-27
67,2016,29,4.1202499999999995,2016-27
68,2016,30,-0.8520000000000003,2016-27
69,2016,31,-0.08766666666666707,2016-27
70,2016,32,0.0,2016-27
71,2016,33,0.0,2016-28
72,2016,34,0.0,2016-28
73,2016,35,0.0,2016-28
74,2016,36,0.0,2016-28
75,2016,37,0.0,2016-28
76,2016,38,0.0,2016-31
77,2016,39,0.0,2016-31
78,2016,40,0.0,2016-32
79,2016,41,0.0,2016-32
80,2016,42,0.0,2016-32
81,2016,43,0.0,2016-32
82,2016,44,0.0,2016-32
83,2016,45,0.0,2016-32
84,2016,46,0.0,2016-33
85,2016,47,0.0,2016-33
86,2016,48,0.0,2016-35
87,2016,49,0.0,2016-35
88,2016,50,0.0,2016-35
89,2016,51,0.0,2016-35
90,2016,52,0.0,2016-35
91,2017,0,0.0,2017-36
92,2017,1,0.0,2017-36
93,2017,2,0.0,2017-36
94,2017,3,0.0,2017-36
95,2017,4,0.0,2017-36
96,2017,5,0.0,2017-36
97,2017,8,0.0,2017-36
98,2017,9,0.0,2017-37
99,2017,10,0.0,2017-37
100,2017,11,0.0,2017-37
101,2017,12,0.0,2017-37
102,2017,14,0.0,2017-37
103,2017,15,0.0,2017-37
104,2017,16,0.0,2017-37
105,2017,17,0.0,2017-38
106,2017,18,5.3420000000000005,2017-38
107,2017,19,5.889,2017-38
108,2017,20,3.682000000000001,2017-38
109,2017,21,-2.166642857142857,2017-38
110,2017,22,-8.1435,2017-38
111,2017,23,2.521714285714286,2017-38
112,2017,24,-2.0280000000000005,2017-39
113,2017,25,6.6875,2017-39
114,2017,26,-9.505000000000003,2017-39
115,2017,27,-4.021285714285716,2017-39
116,2017,28,-1.0423571428571443,2017-39
117,2017,29,-3.819666666666668,2017-39
118,2017,30,-25.953714285714288,2017-39
119,2017,31,1.5157428571428573,2017-40
120,2017,32,-0.6481999999999999,2017-40
121,2017,34,0.0,2017-41
122,2017,35,0.0,2017-41
123,2017,36,0.0,2017-41
124,2017,37,0.0,2017-41
125,2017,38,0.0,2017-41
126,2017,39,0.0,2017-41
127,2017,40,0.0,2017-42
128,2017,41,0.0,2017-42
129,2017,42,0.0,2017-42
130,2017,43,0.0,2017-45
131,2017,44,0.0,2017-45
132,2017,45,0.0,2017-46
133,2017,46,0.0,2017-46
134,2017,47,0.0,2017-46
135,2017,48,0.0,2017-47
136,2017,49,0.0,2017-47
137,2017,50,0.0,2017-47
138,2017,51,0.0,2017-47
139,2017,52,0.0,2017-47
140,2018,1,0.0,2018-47
141,2018,2,0.0,2018-48
142,2018,3,0.0,2018-48
143,2018,4,0.0,2018-48
144,2018,5,0.0,2018-49
145,2018,6,0.0,2018-49
146,2018,7,0.0,2018-50
147,2018,8,0.0,2018-50
148,2018,9,0.0,2018-50
149,2018,12,0.0,2018-50
150,2018,14,0.0,2018-51
151,2018,15,0.0,2018-51
152,2018,16,0.0,2018-52
153,2018,17,0.0,2018-00
154,2018,19,0.7895000000000003,2018-01
155,2018,20,3.7089999999999996,2018-01
156,2018,21,3.7161,2018-02
157,2018,22,5.854166666666667,2018-03
158,2018,23,-33.588571428571434,2018-05
159,2018,24,-23.141142857142857,2018-05
160,2018,25,6.300000000000001,2018-06
161,2018,26,5.117625,2018-06
162,2018,27,2.528285714285715,2018-07
163,2018,28,-4.594000000000001,2018-08
164,2018,29,-47.67357142857143,2018-08
165,2018,30,-6.508000000000002,2018-08
166,2018,31,-2.8732857142857147,2018-09
167,2018,32,0.0,2018-09
168,2018,33,0.0,2018-09
169,2018,34,0.0,2018-09
170,2018,35,0.0,2018-11
171,2018,36,0.0,2018-13
172,2018,37,0.0,2018-13
173,2018,39,0.0,2018-13
174,2018,41,0.0,2018-13
175,2018,42,0.0,2018-13
176,2018,43,0.0,2018-13
177,2018,44,0.0,2018-14
178,2018,45,0.0,2018-14
179,2018,46,0.0,2018-14
180,2018,47,0.0,2018-15
181,2018,48,0.0,2018-15
182,2018,49,0.0,2018-15
183,2018,50,0.0,2018-15
184,2018,51,0.0,2018-16
185,2018,52,0.0,2018-17
186,2018,53,0.0,2018-17
187,2019,0,0.0,2019-17
188,2019,4,0.0,2019-17
189,2019,5,0.0,2019-18
190,2019,8,0.0,2019-18
191,2019,14,0.0,2019-19
192,2019,18,-6.496833333333334,2019-19
193,2019,19,5.753,2019-20
194,2019,20,0.08521428571428531,2019-20
195,2019,21,-3.2728,2019-20
196,2019,22,2.5722500000000004,2019-20
197,2019,23,-6.252,2019-20
198,2019,24,6.66,2019-21
199,2019,25,-34.39625,2019-21
200,2019,26,-7.694999999999999,2019-21
201,2019,27,0.05524999999999957,2019-21
202,2019,28,-9.50307142857143,2019-21
203,2019,29,0.007428571428571372,2019-21
204,2019,30,-2.0054857142857148,2019-21
205,2019,31,0.0,2019-22
206,2019,32,0.0,2019-22
207,2019,33,0.0,2019-22
208,2019,34,0.0,2019-22
209,2019,35,0.0,2019-22
210,2019,36,0.0,2019-22
211,2019,37,0.0,2019-23
212,2019,38,0.0,2019-23
213,2019,39,0.0,2019-23
214,2019,40,0.0,2019-23
215,2019,41,0.0,2019-23
216,2019,42,0.0,2019-23
217,2019,43,0.0,2019-24
218,2019,44,0.0,2019-24
219,2019,45,0.0,2019-24
220,2019,46,0.0,2019-24
221,2019,47,0.0,2019-24
222,2019,48,0.0,2019-24
223,2019,49,0.0,2019-24
224,2019,50,0.0,2019-25
225,2019,51,0.0,2019-25
226,2020,0,0.0,2020-25
227,2020,1,0.0,2020-25
228,2020,2,0.0,2020-25
229,2020,3,0.0,2020-25
230,2020,4,0.0,2020-25
231,2020,5,0.0,2020-26
232,2020,7,0.0,2020-26
233,2020,8,0.0,2020-26
234,2020,9,0.0,2020-26
235,2020,10,0.0,2020-26
236,2020,11,0.0,2020-26
237,2020,13,0.0,2020-27
238,2020,14,0.0,2020-27
239,2020,15,0.0,2020-27
240,2020,16,0.0,2020-27
241,2020,17,0.0,2020-28
242,2020,18,6.18,2020-28
243,2020,19,-16.041400000000003,2020-28
244,2020,20,5.94,2020-28
245,2020,21,6.456,2020-28
246,2020,23,-14.160000000000002,2020-28
247,2020,24,3.7809999999999997,2020-28
248,2020,25,3.145,2020-29
249,2020,26,-7.4203333333333354,2020-29
250,2020,27,-4.843071428571429,2020-29
251,2020,28,5.640357142857143,2020-29
252,2020,29,1.6819285714285717,2020-29
253,2020,30,-8.491142857142858,2020-29
254,2020,31,1.6638285714285712,2020-30
255,2020,32,0.0,2020-30
256,2020,33,0.0,2020-31
257,2020,34,0.0,2020-31
258,2020,35,0.0,2020-31
259,2020,36,0.0,2020-31
260,2020,37,0.0,2020-31
261,2020,38,0.0,2020-31
262,2020,39,0.0,2020-32
263,2020,40,0.0,2020-32
264,2020,41,0.0,2020-32
265,2020,42,0.0,2020-32
266,2020,43,0.0,2020-32
267,2020,44,0.0,2020-32
268,2020,45,0.0,2020-32
269,2020,46,0.0,2020-33
270,2020,47,0.0,2020-33
271,2020,48,0.0,2020-33
272,2020,49,0.0,2020-33
273,2020,50,0.0,2020-33
274,2020,51,0.0,2020-33
275,2021,0,1.2373333333333334,2021-33
276,2021,1,3.654285714285714,2021-34
277,2021,2,2.6582142857142856,2021-34
278,2021,3,2.1312142857142855,2021-34
279,2021,4,3.2339999999999995,2021-34
280,2021,5,4.808657142857143,2021-34
281,2021,6,4.232228571428571,2021-34
282,2021,7,6.820785714285715,2021-34
283,2021,8,4.412857142857143,2021-35
284,2021,9,-0.4014285714285714,2021-35
285,2021,10,-0.3385714285714286,2021-35
286,2021,11,-5.241428571428572,2021-35
287,2021,12,-0.7814285714285715,2021-36
288,2021,13,28.532857142857143,2021-36
289,2021,14,-0.3257142857142857,2021-36
290,2021,15,-0.35571428571428576,2021-36
291,2021,16,-0.8914285714285716,2021-36
292,2021,17,16.673714285714286,2021-36
293,2021,18,9.649714285714285,2021-36
294,2021,19,10.32642857142857,2021-37
295,2021,20,8.856642857142857,2021-37
296,2021,21,7.5249999999999995,2021-37
297,2021,22,-1.7494999999999996,2021-37
298,2021,23,-1.5332857142857146,2021-37
299,2021,24,7.437428571428571,2021-37
300,2021,25,3.4442857142857144,2021-37
301,2021,26,0.9961428571428564,2021-38
302,2021,27,5.239428571428571,2021-38
303,2021,28,0.7728571428571426,2021-38
304,2021,29,-12.166500000000003,2021-38
305,2021,30,-3.0115714285714295,2021-38
306,2021,31,3.8166571428571427,2021-38
307,2021,32,3.018514285714285,2021-38
308,2021,33,2.385014285714285,2021-39
309,2021,34,-0.6171428571428572,2021-39
310,2021,35,-7.216514285714285,2021-39
311,2021,36,-31.251428571428573,2021-39
312,2021,37,-3.008571428571429,2021-39
313,2021,38,-5.231428571428571,2021-39
314,2021,39,25.267142857142858,2021-40
315,2021,40,-4.101428571428571,2021-40
316,2021,41,-4.178571428571429,2021-40
317,2021,42,-3.6814285714285715,2021-41
318,2021,43,-0.5585714285714286,2021-41
319,2021,44,20.937714285714286,2021-41
320,2021,45,3.5629999999999997,2021-41
321,2021,46,1.9212857142857145,2021-41
322,2021,47,2.484916666666667,2021-41
